device,ax_max,ax_min,ax_mean,ay_max,ay_min,ay_mean,az_max,az_min,az_mean,gx_max,gx_min,gx_mean,gy_max,gy_min,gy_mean,gz_max,gz_min,gz_mean,activity
A, 0.016724, -0.018677, -0.001768, 0.082764, -0.105469, -0.003866, 0.074585, -0.074707, 0.009154, 4.760742, -4.211426, 0.275879, 1.159668, -2.868652, -0.401204, 2.380371, -1.831055, 0.132650,jerking
B, 0.048828, -0.049316, -0.000661, 0.086304, -0.083130, 0.001344, 0.067749, -0.053345, 0.003226, 13.549809, -14.160160, 0.268962, 5.554201, -7.629396, 0.359294, 2.624512, -1.647949, 0.012207,jerking
A, 0.013550, -0.018677, -0.002506, 0.082764, -0.068848, -0.002300, 0.074585, -0.051392, 0.013107, 4.333496, -4.211426, -0.080566, 1.220703, -2.868652, -0.072835, 2.380371, -1.831055, 0.072428,jerking
B, 0.024170, -0.049316, 0.000678, 0.086304, -0.054199, -0.001326, 0.067749, -0.032227, -0.003914, 13.549809, -10.986328, 0.146891, 5.554201, -4.455566, 0.524088, 1.708985, -1.586914, -0.156657,jerking
A, 0.005005, -0.013794, -0.001593, 0.067505, -0.056030, -0.002225, 0.053101, -0.018433, 0.008928, 3.479004, -2.685548, -0.003662, 1.220703, -0.915527, 0.226237, 1.037598, -1.831055, -0.028076,jerking
B, 0.016235, -0.007324, 0.004154, 0.012695, -0.027344, -0.006156, 0.005981, -0.032227, -0.013484, 3.784181, -2.624512, 0.245361, 3.967285, -2.685547, 0.053711, 1.892090, -1.586914, -0.101318,jerking
A, 1.611816, -0.571777, 0.016312, 2.666504, -0.847900, 0.013445, 2.466553, -2.812500, 0.004495, 44.128418, -119.567902, -2.790935, 66.589355, -31.127937, 3.418376, 21.484375, -49.438492, -0.507813,jerking
B, 0.034790, -0.065796, 0.001077, 0.149780, -0.113281, -0.006253, 0.115845, -0.032227, -0.001493, 26.855476, -23.315437, -0.310465, 13.183594, -9.582520, -0.493978, 8.117676, -6.042482, 0.213623,jerking
A, 1.611816, -1.650513, 0.005335, 2.666504, -2.543457, -0.003905, 2.970459, -2.812500, -0.004152, 116.455109, -119.567902, 3.704427, 66.589355, -69.152832, -3.417155, 49.072281, -49.438492, 0.977783,jerking
